"group","mt_matchLen","sampleID"
"WGS_249_E20_F02.20","(1800,1850]",1,"WGS_249_E20_F02"
"WGS_249_E20_F02.21","(2300,2350]",1,"WGS_249_E20_F02"
"WGS_249_E20_F02.22","(2500,2550]",1,"WGS_249_E20_F02"
"WGS_249_E20_F02.23","(3000,3050]",1,"WGS_249_E20_F02"
"WGS_249_E20_F02.24","(3200,3250]",1,"WGS_249_E20_F02"
"WGS_249_E20_F02.25","(1.01e+04,1.015e+04]",1,"WGS_249_E20_F02"
"WGS_252_E20_F02.1","(0,50]",5,"WGS_252_E20_F02"
"WGS_252_E20_F02.2","(50,100]",4,"WGS_252_E20_F02"
"WGS_252_E20_F02.3","(100,150]",1,"WGS_252_E20_F02"
"WGS_252_E20_F02.4","(150,200]",3,"WGS_252_E20_F02"
"WGS_252_E20_F02.5","(250,300]",3,"WGS_252_E20_F02"
"WGS_252_E20_F02.6","(300,350]",2,"WGS_252_E20_F02"
"WGS_252_E20_F02.7","(350,400]",1,"WGS_252_E20_F02"
"WGS_252_E20_F02.8","(400,450]",1,"WGS_252_E20_F02"
"WGS_252_E20_F02.9","(550,600]",1,"WGS_252_E20_F02"
"WGS_252_E20_F02.10","(650,700]",1,"WGS_252_E20_F02"
"WGS_253_E20_F01.1","(0,50]",6,"WGS_253_E20_F01"
"WGS_253_E20_F01.2","(50,100]",5,"WGS_253_E20_F01"
"WGS_253_E20_F01.3","(100,150]",1,"WGS_253_E20_F01"
"WGS_253_E20_F01.4","(150,200]",3,"WGS_253_E20_F01"
"WGS_253_E20_F01.5","(200,250]",1,"WGS_253_E20_F01"
"WGS_253_E20_F01.6","(250,300]",3,"WGS_253_E20_F01"
"WGS_262_E20_F07.1","(0,50]",1,"WGS_262_E20_F07"
"WGS_262_E20_F07.2","(50,100]",2,"WGS_262_E20_F07"
"WGS_262_E20_F07.3","(100,150]",1,"WGS_262_E20_F07"
"WGS_262_E20_F07.4","(200,250]",1,"WGS_262_E20_F07"
"WGS_262_E20_F07.5","(450,500]",1,"WGS_262_E20_F07"
"WGS_262_E20_F07.6","(700,750]",1,"WGS_262_E20_F07"
"WGS_266_E20_F04.1","(0,50]",4,"WGS_266_E20_F04"
"WGS_266_E20_F04.2","(50,100]",7,"WGS_266_E20_F04"
"WGS_266_E20_F04.3","(100,150]",3,"WGS_266_E20_F04"
"WGS_266_E20_F04.4","(150,200]",2,"WGS_266_E20_F04"
"WGS_266_E20_F04.5","(200,250]",2,"WGS_266_E20_F04"
"WGS_266_E20_F04.6","(250,300]",2,"WGS_266_E20_F04"
"WGS_266_E20_F04.7","(300,350]",1,"WGS_266_E20_F04"
"WGS_266_E20_F04.8","(400,450]",1,"WGS_266_E20_F04"
"WGS_266_E20_F04.9","(700,750]",1,"WGS_266_E20_F04"
"WGS_289_E20_F02.1","(0,50]",2,"WGS_289_E20_F02"
"WGS_289_E20_F02.2","(50,100]",7,"WGS_289_E20_F02"
"WGS_289_E20_F02.3","(100,150]",4,"WGS_289_E20_F02"
"WGS_289_E20_F02.4","(150,200]",4,"WGS_289_E20_F02"
"WGS_289_E20_F02.5","(200,250]",1,"WGS_289_E20_F02"
"WGS_289_E20_F02.6","(250,300]",3,"WGS_289_E20_F02"
"WGS_289_E20_F02.7","(300,350]",1,"WGS_289_E20_F02"
"WGS_289_E20_F02.8","(350,400]",2,"WGS_289_E20_F02"
"WGS_289_E20_F02.9","(400,450]",1,"WGS_289_E20_F02"
"WGS_289_E20_F02.10","(600,650]",4,"WGS_289_E20_F02"
"WGS_289_E20_F02.11","(750,800]",1,"WGS_289_E20_F02"
"WGS_289_E20_F02.12","(1050,1100]",1,"WGS_289_E20_F02"
